Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower,Return,LogReturn,Volatility_20,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_4,Close_lag_5,Close_lag_6,Close_lag_7,Close_lag_8,Close_lag_9,Close_lag_10
2015-02-02,35.25313187,35.32999202,34.35643219,34.66387282,50352500,38.63497429,38.05880708937575,29.632479869670973,-1.1086162626267821,-0.5753033637925772,-0.533312898834205,38.63497429,42.57671520635118,34.69323337364882,0.02178200606173708,0.021548167720098068,0.0281779529478915,34.50161743,35.87656403,35.17626953,36.43164825,40.14656067,40.29174042,40.24903107,39.21569443,39.61706924,39.48897934
2015-02-03,35.52642059,35.80824233,35.05672096,35.55204282,52082400,38.4330039985,37.81762742276853,31.887442102398524,-1.1668765352674413,-0.6936179980875501,-0.4732585371798912,38.4330039985,42.582399828717165,34.28360816828283,0.0077521827282689415,0.007722288955009225,0.028337496841993874,35.25313187,34.50161743,35.87656403,35.17626953,36.43164825,40.14656067,40.29174042,40.24903107,39.21569443,39.61706924
2015-02-04,35.73137665,36.04735588,35.32145685,35.81677538,41614800,38.2703170785,37.61893687298105,34.129474727492834,-1.1828745385583588,-0.7914693061817119,-0.3914052323766469,38.2703170785,42.58059073884016,33.96004341815984,0.005769116522188922,0.005752538897738323,0.028351010002269864,35.52642059,35.25313187,34.50161743,35.87656403,35.17626953,36.43164825,40.14656067,40.29174042,40.24903107,39.21569443
2015-02-05,36.25231171,36.41457058,35.74845142,36.05589204,36548200,38.1089113245,37.488782095554285,38.44392057737048,-1.140372461836904,-0.8612499373127502,-0.27912252452415376,38.1089113245,42.46985338070027,33.74796926829973,0.014579204856916661,0.01447395003750769,0.028412246294240936,35.73137665,35.52642059,35.25313187,34.50161743,35.87656403,35.17626953,36.43164825,40.14656067,40.29174042,40.24903107
2015-02-06,36.21814728,36.54266826,35.99610867,36.44872772,34616600,37.8877246865,37.367769255977684,34.54396135729564,-1.096802784042751,-0.9083605066587503,-0.18844227738400066,37.8877246865,42.15547922403215,33.61997014896785,-0.000942406935957707,-0.0009428512805650728,0.02733603330423947,36.25231171,35.73137665,35.52642059,35.25313187,34.50161743,35.87656403,35.17626953,36.43164825,40.14656067,40.29174042
2015-02-09,36.17544556,36.49996651,36.04734424,36.07296645,31381100,37.681483078999996,37.25421461826552,33.60459091238566,-1.0535742245853115,-0.9374032502440626,-0.1161709743412489,37.681483078999996,41.85599187374181,33.506974284258185,-0.0011790144777388267,-0.0011797100620979568,0.027346798669512094,36.21814728,36.25231171,35.73137665,35.52642059,35.25313187,34.50161743,35.87656403,35.17626953,36.43164825,40.14656067
2015-02-10,36.38040924,36.52559098,36.0217307,36.49997201,29670700,37.51068287,37.17099505843071,36.235520275957384,-0.9913487721945984,-0.9481923546341698,-0.04315641756042854,37.51068287,41.59949677669195,33.42186896330804,0.00566582323526732,0.005649832829576997,0.02739858307083163,36.17544556,36.21814728,36.25231171,35.73137665,35.52642059,35.25313187,34.50161743,35.87656403,35.17626953,36.43164825
2015-02-11,36.19253159,36.42311204,36.04734985,36.42311204,38262500,37.3407369625,37.07780806143731,28.545719350301738,-0.9462866061084938,-0.9478112049290347,0.0015245988205409011,37.3407369625,41.34711860412218,33.334355320877826,-0.005164253341972458,-0.005177634186189181,0.027398601464494337,36.38040924,36.17544556,36.21814728,36.25231171,35.73137665,35.52642059,35.25313187,34.50161743,35.87656403,35.17626953
2015-02-12,36.79887772,36.79887772,36.30355592,36.43165728,33268800,37.218188287,37.05124326701471,32.566125835085444,-0.8518281054301085,-0.9286145850292495,0.07678647959914109,37.218188287,41.127454644933316,33.30892192906668,0.01675334947189855,0.01661456009226988,0.02777626500930301,36.19253159,36.38040924,36.17544556,36.21814728,36.25231171,35.73137665,35.52642059,35.25313187,34.50161743,35.87656403
2015-02-13,37.46500015,37.46500015,36.85012202,37.04654174,40264900,37.149441338500004,37.09064868444188,37.27719640271551,-0.7149767431843088,-0.8858870166602615,0.17091027347595267,37.149441338500004,40.9863135266748,33.31256915032521,0.01810170503210662,0.017939819849291057,0.02811016728639469,36.79887772,36.19253159,36.38040924,36.17544556,36.21814728,36.25231171,35.73137665,35.52642059,35.25313187,34.50161743
2015-02-17,37.48219681,37.84342795,37.14676367,37.81762667,33695700,37.049102212,37.12793898211408,57.678677526940696,-0.5982373184825036,-0.82835707702471,0.23011975854220634,37.049102212,40.73016250639356,33.36804191760644,0.00045900600376747036,0.0004589006927360878,0.027784841099640464,37.46500015,36.79887772,36.19253159,36.38040924,36.17544556,36.21814728,36.25231171,35.73137665,35.52642059,35.25313187
2015-02-18,37.43919373,37.58540869,37.31878333,37.52520349,27111700,36.9402084365,37.15758229143655,70.10304810510874,-0.5033877320810021,-0.7633632080359685,0.2599754759549664,36.9402084365,40.425033672040406,33.455383200959595,-0.00114729347956799,-0.001147952124553045,0.02775355959549689,37.48219681,37.46500015,36.79887772,36.19253159,36.38040924,36.17544556,36.21814728,36.25231171,35.73137665,35.52642059
2015-02-19,37.41337967,37.43918095,37.02634405,37.13815507,27603400,36.850092698500006,37.18194394653783,65.5113863075241,-0.42539800698489216,-0.6957701678257533,0.27037216084086113,36.850092698500006,40.17678444748468,33.523400949515334,-0.000689492946513881,-0.000689730756093829,0.02770226454744614,37.43919373,37.48219681,37.46500015,36.79887772,36.19253159,36.38040924,36.17544556,36.21814728,36.25231171,35.73137665
2015-02-20,37.72302628,37.74022823,37.23278202,37.42199697,29721100,36.723792459,37.23347559734375,91.42192866250028,-0.3347459514026383,-0.6235653245411303,0.28881937313849204,36.723792459,39.67810657265331,33.76947834534669,0.00827636029493184,0.008242299031541948,0.027021428675178268,37.41337967,37.43919373,37.48219681,37.46500015,36.79887772,36.19253159,36.38040924,36.17544556,36.21814728,36.25231171
2015-02-23,37.972435,38.00683561,37.54239611,37.58539934,32518800,36.607827188,37.30385268331101,90.15005679986994,-0.24001164014699583,-0.5468545876623034,0.3068429475153076,36.607827188,39.12169454209186,34.093959833908144,0.006611577717777983,0.006589817099836617,0.02709593559563873,37.72302628,37.41337967,37.43919373,37.48219681,37.46500015,36.79887772,36.19253159,36.38040924,36.17544556,36.21814728
2015-02-24,37.92082977,38.10144532,37.77461484,37.97243562,25271700,36.496540642999996,37.362612405852815,87.82945881785635,-0.1671710825518673,-0.4709178866402163,0.303746804088349,36.496540642999996,38.49503535669153,34.49804592930846,-0.0013590181930656087,-0.0013599424958145605,0.027097785021748116,37.972435,37.72302628,37.41337967,37.43919373,37.48219681,37.46500015,36.79887772,36.19253159,36.38040924,36.17544556
2015-02-25,37.83482361,37.92083008,37.67140673,37.80041971,29759800,36.566699410999995,37.40758490148588,84.53038195699034,-0.11505807631577625,-0.3997459245753283,0.28468784825955207,36.566699410999995,38.65222625574132,34.48117256625867,-0.002268045307068589,-0.002270621217417333,0.015593029649543181,37.92082977,37.972435,37.72302628,37.41337967,37.43919373,37.48219681,37.46500015,36.79887772,36.19253159,36.38040924
2015-02-26,37.89502716,38.0412388,37.74881224,37.83482198,28957300,36.7026372925,37.45400797372532,81.77325439445983,-0.06811503238361638,-0.33341974613698594,0.26530471375336956,36.7026372925,38.76080882378442,34.64446576121558,0.0015912205808219504,0.0015899559307339577,0.012951095524266093,37.83482361,37.92082977,37.972435,37.72302628,37.41337967,37.43919373,37.48219681,37.46500015,36.79887772,36.19253159
2015-02-27,37.71441269,38.01544191,37.55099908,37.95523672,33807700,36.7945297255,37.47880842289433,77.38897766863542,-0.04496804648368169,-0.2757294062063251,0.2307613597226434,36.7945297255,38.86150008828585,34.727559362714146,-0.004766178666066323,-0.004777573115342208,0.012509917281386885,37.89502716,37.83482361,37.92082977,37.972435,37.72302628,37.41337967,37.43919373,37.48219681,37.46500015,36.79887772
2015-03-02,37.74022293,38.00684501,37.45639562,37.55960406,31924000,36.9564600005,37.503705042618684,78.82131083994965,-0.024261550676222043,-0.22543583510030446,0.20117428442408242,36.9564600005,38.75740719841487,35.155512802585136,0.000684360120152272,0.000684126052550178,0.007844339925814634,37.71441269,37.89502716,37.83482361,37.92082977,37.972435,37.72302628,37.41337967,37.43919373,37.48219681,37.46500015
